City,Restaurant,Price,Avg ratings,Total ratings,Delivery time,Chinese,North Indian,Indian,Fast Food,Beverages,Desserts,Biryani,Snacks,South Indian,Continental
0,Tandoor Hut,300.0,4.4,100,59,1,1,1,0,0,0,1,0,1,0
0,Kim Lee,650.0,4.4,100,50,1,0,0,0,0,0,0,0,0,0
0,New Punjabi Hotel,250.0,3.9,500,57,1,1,1,0,0,0,0,0,0,0
0,Nh8,350.0,4.0,50,63,0,1,1,0,1,1,0,1,0,0
0,Treat,800.0,4.5,100,56,0,1,1,0,0,0,0,0,0,0
0,Chinita Real Mexican Food,1000.0,4.5,500,53,0,0,0,0,1,0,0,0,0,0
0,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100,57,0,0,0,0,0,1,0,1,0,0
0,Tea Brew,350.0,4.1,100,57,1,0,0,1,1,0,0,0,0,1
0,Bamey'S Restro Cafe,400.0,4.4,100,56,1,0,0,0,0,0,0,0,0,0
0,Altaf'S Chillies Restaurants,250.0,4.3,500,55,1,1,1,0,0,0,0,0,0,0
0,Chichabas Taj,532.0,4.2,100,54,0,1,1,0,0,0,1,0,0,0
0,Urban Solace,500.0,2.9,80,48,0,0,0,0,0,0,0,0,0,1
0,Kaati Zone Rolls & Wraps,150.0,4.3,100,59,0,1,1,1,1,0,1,1,0,0
0,Aalishan Restaurant & Caterer,290.0,4.3,100,52,0,1,1,0,0,0,0,0,0,0
0,Kitchen Of Joy,250.0,4.4,100,55,1,0,0,1,0,0,0,0,0,0
0,Nagarjuna Chimney,800.0,4.2,1000,48,0,0,1,0,1,1,1,0,1,0
1,So. The Sky Kitchen,800.0,2.9,80,90,1,1,1,0,0,0,0,0,0,0
0,Hotel New Karavali,250.0,3.8,100,53,1,1,1,0,0,0,0,0,1,0
1,Dine Hill,400.0,4.1,500,49,1,1,1,0,0,0,1,0,0,0
1,Sarvi Restaurant,400.0,4.1,5000,56,1,0,1,0,0,1,1,0,0,0
1,Sarvi Bakery,250.0,4.1,100,58,0,0,0,1,0,1,0,0,0,0
2,Kung Fu Panda,600.0,4.3,100,58,1,0,0,0,0,0,0,0,0,0
2,Kosho,300.0,4.2,100,56,1,1,1,0,0,0,0,0,0,0
1,Chinese Pavilion,850.0,4.3,500,64,1,0,0,0,0,0,0,0,0,0
0,Mamagoto,900.0,4.2,100,59,1,0,0,0,0,0,0,0,0,0
2,Hakka Express,300.0,4.0,100,48,1,0,0,0,0,0,0,0,0,0
0,The Brekkie Shop - All Day Menu,200.0,4.3,500,57,1,1,1,0,0,1,0,0,1,0
3,Juice Destination,200.0,4.2,500,60,0,1,1,0,1,0,0,0,0,0
3,Hyderabadi Spice,400.0,4.2,1000,58,1,1,1,0,0,0,1,0,0,0
3,Cafe Peterdonuts,400.0,4.1,50,71,0,0,0,0,0,1,0,0,0,1
3,Karolbaug,750.0,4.1,50,72,1,1,1,0,0,0,1,0,0,0
2,The Punjabi'S Kitchen,500.0,4.4,500,65,0,1,1,0,0,0,0,0,0,0
1,Aangan - Yatri Nivas,500.0,4.1,100,66,0,1,1,0,0,0,0,0,1,0
1,Bluefox,800.0,4.2,1000,68,1,1,1,0,0,0,1,0,0,0
3,Taaareef,1100.0,4.4,100,67,0,1,1,0,0,0,1,0,0,0
1,Flavours Of Taj Mahal Hotel,300.0,4.2,1000,57,1,1,1,0,0,1,0,0,1,1
1,Ohri'S Eatmor,600.0,4.2,500,37,0,0,0,0,1,1,0,0,0,0
1,Ohri'S Ming'S Court,500.0,4.0,1000,39,1,0,0,0,0,0,0,0,0,0
1,Minerva Coffee Shop,500.0,4.3,1000,30,1,1,1,0,0,0,0,0,1,0
1,Bluefox,800.0,4.1,1000,36,1,1,1,0,0,0,1,0,0,0
0,Art Of Delight,250.0,4.6,100,34,0,0,0,0,1,1,0,0,0,0
0,Khan Saheb Grills And Rolls,300.0,4.3,50,39,0,1,1,0,0,0,0,0,0,0
0,Fanoos,300.0,4.2,500,33,0,0,0,1,0,0,1,0,0,0
0,In Wok,500.0,4.3,100,44,1,0,0,0,0,0,0,0,0,0
0,Lakeview Milkbar,450.0,4.1,100,31,0,0,0,1,0,1,0,0,0,0
0,C Sharp Kitchen,300.0,2.9,80,33,1,0,0,1,0,0,0,0,0,1
0,Roomali,1000.0,4.4,100,35,0,1,1,0,0,0,0,0,0,0
0,Tadka Singh,300.0,4.2,100,38,0,1,1,0,0,0,0,0,0,0
0,Watson'S,450.0,2.9,80,53,0,0,0,1,0,0,0,0,0,0
2,Sai Leela,500.0,4.2,20,63,1,1,1,0,0,0,0,0,0,0
4,Tandoori Darbar,500.0,4.4,100,71,1,1,1,0,1,1,1,0,0,0
4,Ballygunge Dhaba,500.0,4.3,500,59,1,1,1,0,0,0,1,0,0,0
4,Wise Owl The Coffee Shop,700.0,4.3,100,76,0,0,0,0,0,0,0,0,0,1
4,Aminia Restaurant- Golpark,500.0,4.3,1000,67,0,1,1,0,0,0,1,0,0,0
4,Bedouin - Sher E Bengal,500.0,2.9,80,70,1,1,1,0,0,0,0,0,0,0
4,Sharma Dhaba,300.0,4.2,1000,54,1,1,1,1,0,0,1,1,0,0
0,Kund Indian Barbeque,200.0,4.2,100,58,0,1,1,0,0,1,1,0,0,0
4,Jai Hind Dhaba,500.0,4.3,1000,60,1,1,1,0,0,0,0,0,0,0
4,Tamarind,1100.0,4.4,100,73,0,1,1,0,0,0,0,0,1,0
0,Pathaan Sir,300.0,4.2,100,47,0,0,0,1,0,0,0,0,0,0
0,Chaipatty,200.0,3.9,50,56,0,0,0,1,1,0,0,1,0,0
2,5 Spice,1100.0,4.2,500,53,1,0,0,0,0,1,0,0,0,0
2,Cafe Vrindavan,500.0,4.3,100,42,1,1,1,0,0,0,0,0,1,0
2,Ramdeo,450.0,4.0,500,44,1,1,1,1,0,0,0,0,1,0
2,Shabari,400.0,3.9,100,48,0,1,1,1,0,0,0,0,1,0
0,The Purple Pan,400.0,4.1,1000,56,1,1,1,0,0,0,0,0,0,0
0,Moriz Nano,500.0,2.9,80,50,1,1,1,0,0,0,1,0,0,0
0,Truffles,450.0,4.5,1000,29,0,0,0,0,0,1,0,0,0,1
